Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
Run: 1
johnson16-2-4.clq    | 548                            | 548.00                           | 1                             
johnson32-2-4.clq    | 1956                           | 1956.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 1                             
johnson8-4-4.clq     | 511                            | 511.00                           | 1                             
keller4.clq          | 1153                           | 1153.00                          | 1                             
keller5.clq          | 3317                           | 3317.00                          | 1                             
keller6.clq          | 7098                           | 7098.00                          | 1                             
MANN_a27.clq         | 12252                          | 12252.00                         | 1                             
MANN_a45.clq         | 34147                          | 34147.00                         | 1                             
MANN_a81.clq         | 111099                         | 111099.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 1                             

Run: 2
johnson16-2-4.clq    | 548                            | 548.00                           | 2                             
johnson32-2-4.clq    | 1956                           | 1944.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 2                             
johnson8-4-4.clq     | 511                            | 511.00                           | 2                             
keller4.clq          | 1153                           | 1153.00                          | 2                             
keller5.clq          | 3317                           | 3317.00                          | 2                             
keller6.clq          | 7098                           | 6950.00                          | 1                             
MANN_a27.clq         | 12252                          | 12251.00                         | 1                             
MANN_a45.clq         | 34147                          | 34144.00                         | 1                             
MANN_a81.clq         | 111099                         | 111097.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 2                             

Run: 3
johnson16-2-4.clq    | 548                            | 548.00                           | 3                             
johnson32-2-4.clq    | 1956                           | 1941.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 3                             
johnson8-4-4.clq     | 511                            | 511.00                           | 3                             
keller4.clq          | 1153                           | 1153.00                          | 3                             
keller5.clq          | 3317                           | 3317.00                          | 3                             
keller6.clq          | 7098                           | 6877.00                          | 1                             
MANN_a27.clq         | 12252                          | 12251.00                         | 2                             
MANN_a45.clq         | 34147                          | 34142.00                         | 1                             
MANN_a81.clq         | 111099                         | 111089.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 3                             

Run: 4
johnson16-2-4.clq    | 548                            | 548.00                           | 4                             
johnson32-2-4.clq    | 1974                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 4                             
johnson8-4-4.clq     | 511                            | 511.00                           | 4                             
keller4.clq          | 1153                           | 1153.00                          | 4                             
keller5.clq          | 3317                           | 3317.00                          | 4                             
keller6.clq          | 7098                           | 6885.00                          | 1                             
MANN_a27.clq         | 12252                          | 12251.00                         | 2                             
MANN_a45.clq         | 34147                          | 34142.00                         | 1                             
MANN_a81.clq         | 111099                         | 111085.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 4                             

Run: 5
johnson16-2-4.clq    | 548                            | 548.00                           | 5                             
johnson32-2-4.clq    | 1974                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 5                             
johnson8-4-4.clq     | 511                            | 511.00                           | 5                             
keller4.clq          | 1153                           | 1153.00                          | 5                             
keller5.clq          | 3317                           | 3317.00                          | 5                             
keller6.clq          | 7098                           | 6798.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 1                             
MANN_a45.clq         | 34147                          | 34142.00                         | 1                             
MANN_a81.clq         | 111101                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 5                             

Run: 6
johnson16-2-4.clq    | 548                            | 548.00                           | 6                             
johnson32-2-4.clq    | 1974                           | 1950.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 6                             
johnson8-4-4.clq     | 511                            | 511.00                           | 6                             
keller4.clq          | 1153                           | 1153.00                          | 6                             
keller5.clq          | 3317                           | 3317.00                          | 6                             
keller6.clq          | 7098                           | 6762.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 1                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111101                         | 111086.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 6                             

Run: 7
johnson16-2-4.clq    | 548                            | 548.00                           | 7                             
johnson32-2-4.clq    | 1974                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 7                             
johnson8-4-4.clq     | 511                            | 511.00                           | 7                             
keller4.clq          | 1153                           | 1153.00                          | 7                             
keller5.clq          | 3317                           | 3317.00                          | 7                             
keller6.clq          | 7098                           | 6747.00                          | 1                             
MANN_a27.clq         | 12253                          | 12252.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111101                         | 111086.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 7                             

Run: 8
johnson16-2-4.clq    | 548                            | 548.00                           | 8                             
johnson32-2-4.clq    | 1974                           | 1951.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 8                             
johnson8-4-4.clq     | 511                            | 511.00                           | 8                             
keller4.clq          | 1153                           | 1153.00                          | 8                             
keller5.clq          | 3317                           | 3317.00                          | 8                             
keller6.clq          | 7098                           | 6728.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111101                         | 111084.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 8                             

Run: 9
johnson16-2-4.clq    | 548                            | 548.00                           | 9                             
johnson32-2-4.clq    | 1974                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 9                             
johnson8-4-4.clq     | 511                            | 511.00                           | 9                             
keller4.clq          | 1153                           | 1153.00                          | 9                             
keller5.clq          | 3317                           | 3317.00                          | 9                             
keller6.clq          | 7098                           | 6706.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111101                         | 111086.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 9                             

Run: 10
johnson16-2-4.clq    | 548                            | 548.00                           | 10                            
johnson32-2-4.clq    | 1974                           | 1950.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 10                            
johnson8-4-4.clq     | 511                            | 511.00                           | 10                            
keller4.clq          | 1153                           | 1153.00                          | 10                            
keller5.clq          | 3317                           | 3317.00                          | 10                            
keller6.clq          | 7098                           | 6700.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111101                         | 111086.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 10                            

Run: 11
johnson16-2-4.clq    | 548                            | 548.00                           | 11                            
johnson32-2-4.clq    | 1991                           | 1954.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 11                            
johnson8-4-4.clq     | 511                            | 511.00                           | 11                            
keller4.clq          | 1153                           | 1153.00                          | 11                            
keller5.clq          | 3317                           | 3317.00                          | 11                            
keller6.clq          | 7098                           | 6697.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 11                            

Run: 12
johnson16-2-4.clq    | 548                            | 548.00                           | 12                            
johnson32-2-4.clq    | 1991                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 12                            
johnson8-4-4.clq     | 511                            | 511.00                           | 12                            
keller4.clq          | 1153                           | 1153.00                          | 12                            
keller5.clq          | 3317                           | 3317.00                          | 12                            
keller6.clq          | 7098                           | 6697.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 12                            

Run: 13
johnson16-2-4.clq    | 548                            | 548.00                           | 13                            
johnson32-2-4.clq    | 1991                           | 1954.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 13                            
johnson8-4-4.clq     | 511                            | 511.00                           | 13                            
keller4.clq          | 1153                           | 1153.00                          | 13                            
keller5.clq          | 3317                           | 3317.00                          | 13                            
keller6.clq          | 7098                           | 6702.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111090.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 13                            

Run: 14
johnson16-2-4.clq    | 548                            | 548.00                           | 14                            
johnson32-2-4.clq    | 1991                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 14                            
johnson8-4-4.clq     | 511                            | 511.00                           | 14                            
keller4.clq          | 1153                           | 1153.00                          | 14                            
keller5.clq          | 3317                           | 3317.00                          | 14                            
keller6.clq          | 7098                           | 6696.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34144.00                         | 2                             
MANN_a81.clq         | 111112                         | 111091.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 14                            

Run: 15
johnson16-2-4.clq    | 548                            | 548.00                           | 15                            
johnson32-2-4.clq    | 1991                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 15                            
johnson8-4-4.clq     | 511                            | 511.00                           | 15                            
keller4.clq          | 1153                           | 1153.00                          | 15                            
keller5.clq          | 3317                           | 3317.00                          | 15                            
keller6.clq          | 7098                           | 6688.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 2                             
MANN_a81.clq         | 111112                         | 111092.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 15                            

Run: 16
johnson16-2-4.clq    | 548                            | 548.00                           | 16                            
johnson32-2-4.clq    | 1991                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 16                            
johnson8-4-4.clq     | 511                            | 511.00                           | 16                            
keller4.clq          | 1153                           | 1153.00                          | 16                            
keller5.clq          | 3317                           | 3317.00                          | 16                            
keller6.clq          | 7098                           | 6678.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 2                             
MANN_a45.clq         | 34151                          | 34143.00                         | 2                             
MANN_a81.clq         | 111112                         | 111092.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 16                            

Run: 17
johnson16-2-4.clq    | 548                            | 548.00                           | 17                            
johnson32-2-4.clq    | 1991                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 17                            
johnson8-4-4.clq     | 511                            | 511.00                           | 17                            
keller4.clq          | 1153                           | 1153.00                          | 17                            
keller5.clq          | 3317                           | 3317.00                          | 17                            
keller6.clq          | 7098                           | 6702.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 3                             
MANN_a45.clq         | 34151                          | 34143.00                         | 2                             
MANN_a81.clq         | 111112                         | 111091.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 17                            

Run: 18
